tab 	sites
age	age_sigma	age_unit	citations	conglomerate_test	contact_test	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
0.33	0.08	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	5.1	352.8	25.5	174.9	6	6	0			5.9714	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv15	sv15b1 : sv15c1 : sv15d1 : sv15f1 : sv15h1:sv15a1					
0.33	0.08	Ma	This study	ND	ND	DE-SITE	VGP: Site sv15, Site VGP.	5.1	352.8	25.5	174.9	6					5.9714	0			35.249		San Francisco Volcanics	248.31	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv15	sv15b1 : sv15c1 : sv15d1 : sv15f1 : sv15h1:sv15a1	4.6	5.1	67.2	86.7	6
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2401	Basalt	San Francisco Volcanics	248.317	FS-LOC-GPS:SO-SM:FS-FD			sv16						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	6.1	356	24.1	165.7	5	4	1			4.9789	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv16	sv16b1 : sv16c1 : sv16e1 : sv16h1:sv16a1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv16, Site VGP.	6.1	356	24.1	165.7	5					4.9789	0			35.2401		San Francisco Volcanics	248.317	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv16	sv16b1 : sv16c1 : sv16e1 : sv16h1:sv16a1	5.5	6.1	67.1	78.4	5
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.218	Basalt	San Francisco Volcanics	248.557	FS-LOC-GPS:SO-SM:FS-FD			sv17						
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.24	Basalt	San Francisco Volcanics	247.813	FS-LOC-GPS:SO-SM:FS-FD			sv18						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	1.7	194.8	-56.5	3001.5	4	4	0		r	3.999	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv18	sv18f1 : sv18g1 : sv18h1:sv18c1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.664	Basalt	San Francisco Volcanics	248.446	FS-LOC-GPS:SO-SM:FS-FD			sv19						
1.04	0.14	Ma	This study																Igneous	Lava Flow	35.66	Basalt	San Francisco Volcanics	248.462	FS-LOC-GPS:SO-SM:FS-FD			sv20						
1.2	0.05	Ma	This study																Igneous	Lava Flow	35.645	Basalt	San Francisco Volcanics	248.49	FS-LOC-GPS:SO-SM:FS-FD			sv21						
2.43	0.32	Ma	This study																Igneous	Lava Flow	35.588	Basalt	San Francisco Volcanics	248.483	FS-LOC-GPS:SO-SM:FS-FD			sv22						
1.07	0.15	Ma	This study																Igneous	Lava Flow	35.482	Basalt	San Francisco Volcanics	248.641	FS-LOC-GPS:SO-SM:FS-FD			sv23						
1.07	0.15	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	3.8	20.2	28.5	584.2	4	4	0			3.9949	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv23	sv23b1 : sv23f1 : sv23g1:sv23a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.4673	Basalt	San Francisco Volcanics	248.6415	FS-LOC-GPS:SO-SM:FS-FD			sv24						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	5.8	339.2	63.7	109.4	7	7	0			6.9452	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv24	sv24c1 : sv24d1 : sv24g1 : sv24h1 : sv24i1 : sv24j1:sv24b1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv24, Site VGP.	5.8	339.2	63.7	109.4	7					6.9452	0			35.4673		San Francisco Volcanics	248.6415	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv24	sv24c1 : sv24d1 : sv24g1 : sv24h1 : sv24i1 : sv24j1:sv24b1	10.7	5.8	71.4	197	7
1.04	0.04	Ma	This study																Igneous	Lava Flow	35.6243	Basalt	San Francisco Volcanics	248.2548	FS-LOC-GPS:SO-SM:FS-FD			sv25						
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.5887	Basalt	San Francisco Volcanics	248.3583	FS-LOC-GPS:SO-SM:FS-FD			sv26						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	6.7	159	-69.1	109	6	4	2		r	5.9633	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv26	sv26g1 : sv26h2 : sv26i1 : sv26k1 : sv26l1:sv26d1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv26, Site VGP.	6.7	159	-69.1	109	6					5.9633	0			35.5887		San Francisco Volcanics	248.3583	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv26	sv26g1 : sv26h2 : sv26i1 : sv26k1 : sv26l1:sv26d1	15.3	6.8	-67.4	33.9	6
0.071		Ma	This study																Igneous	Lava Flow	35.5883	Basalt	San Francisco Volcanics	248.3669	FS-LOC-GPS:SO-SM:FS-FD			sv27						
0.071		Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	5.1	354	55.9	240.5	5	4	1			4.9854	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv27	sv27c1 : sv27d1 : sv27j1 : sv27l1:sv27a1					
0.071		Ma	This study	ND	ND	DE-SITE	VGP: Site sv27, Site VGP.	5.1	354	55.9	240.5	5					4.9854	0			35.5883		San Francisco Volcanics	248.3669	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv27	sv27c1 : sv27d1 : sv27j1 : sv27l1:sv27a1	7.4	5.1	85.1	170.1	5
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.5838	Basalt	San Francisco Volcanics	248.3925	FS-LOC-GPS:SO-SM:FS-FD			sv28						
			This study																Igneous	Lava Flow	35.5526	Basalt	San Francisco Volcanics	248.464	FS-LOC-GPS:SO-SM:FS-FD			sv29						
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.5182	Basalt	San Francisco Volcanics	248.4563	FS-LOC-GPS:SO-SM:FS-FD			sv30						
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3404	Basalt	San Francisco Volcanics	248.4426	FS-LOC-GPS:SO-SM:FS-FD			sv31						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	3.9	12.7	46.2	394	5	5	0			4.9898	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv31	sv31b1 : sv31c1 : sv31e2 : sv31k1:sv31a1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv31, Site VGP.	3.9	12.7	46.2	394	5					4.9898	0			35.3404		San Francisco Volcanics	248.4426	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv31	sv31b1 : sv31c1 : sv31e2 : sv31k1:sv31a1	4.6	3.9	76.7	10.7	5
1080		Years AD (+/-)	This study																Igneous	Lava Flow	35.3708	Basalt	San Francisco Volcanics	248.4607	FS-LOC-GPS:SO-SM:FS-FD			sv32						
1080		Years AD (+/-)	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	3.9	342.9	60.3	384.1	5	5	0			4.9896	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv32	sv32b1 : sv32c1 : sv32d1 : sv32e1:sv32a1					
