tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	specimens
11.4	This study			-31.5									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05a	sv05	
	This study		sample direction.		202.3	31.5	1	0	1			0						DA-DIR-GEO:DE-BFP:LP-DIR-T:SO-SUN:LP-DIR-AF			sv05a	sv05	sv05a2
21	This study			-36									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05b	sv05	
	This study	DE-SPEC	sample direction.		160	-47.8	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv05b	sv05	sv05b1
127.9	This study			-3									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05c	sv05	
	This study		sample direction.		168.4	37.3	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv05c	sv05	sv05c1
348.5	This study			-48									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05d	sv05	
	This study	DE-SPEC	sample direction.		161.2	-47.4	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv05d	sv05	sv05d2
41.8	This study			-50									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05e	sv05	
346.1	This study			-31									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05f	sv05	
	This study		sample direction.		72.5	-2.6	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv05f	sv05	sv05f1
213.1	This study			-14									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05g	sv05	
208.4	This study			-32									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05h	sv05	
	This study	DE-SPEC	sample direction.		172	-44.3	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv05h	sv05	sv05h1
212.8	This study			-34									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05i	sv05	
	This study	DE-SPEC	sample direction.		166.6	-54.5	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv05i	sv05	sv05i1
240.5	This study			-9									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05j	sv05	
	This study	DE-SPEC	sample direction.		157.8	-60	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv05j	sv05	sv05j1
12.9	This study			-26									Igneous	Lava Flow	35.184	Basalt	247.808	FS-FD:SO-POM:SO-SUN	g		sv05k	sv05	
317.3	This study			-56.5									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06a	sv06	
	This study		sample direction.		246.5	-31.4	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv06a	sv06	sv06a1
313.9	This study			-52									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06b	sv06	
300.5	This study			-52									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06c	sv06	
	This study		sample direction.		278.3	24.5	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv06c	sv06	sv06c3
