tab 	specimens
citations	description	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	59.6	24	3.8	6			0	LP-DIR-AF:sv06g1	Igneous	Lava Flow		Basalt	0.07	0.02	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv06g	sv06g1
This study										Igneous	Lava Flow		Basalt						sv06g	sv06g2
This study	Recalculated from original measurements; supercedes published results.	344.7	-25.1	4.7	11			0	LP-DIR-AF:sv06h1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv06h	sv06h1
This study	Recalculated from original measurements; supercedes published results.	4.1	57.1	3.1	10			0	LP-DIR-AF:sv07a1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07a	sv07a1
This study										Igneous	Lava Flow		Basalt						sv07a	sv07a2
This study	Recalculated from original measurements; supercedes published results.	352.3	61.6	1.9	12			0	LP-DIR-AF:sv07b1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07b	sv07b1
This study	Recalculated from original measurements; supercedes published results.	346.5	62.5	2.8	11			0	LP-DIR-AF:sv07c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07c	sv07c1
This study	Recalculated from original measurements; supercedes published results.	351.2	65.3	1.8	12			0	LP-DIR-AF:sv07d1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07d	sv07d1
This study	Recalculated from original measurements; supercedes published results.	344.1	60.2	2.3	8			0	LP-DIR-AF:sv07f2	Igneous	Lava Flow		Basalt	0.15	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07f	sv07f2
This study	Recalculated from original measurements; supercedes published results.	341.2	59.3	1.5	9			0	LP-DIR-AF:sv07g1	Igneous	Lava Flow		Basalt	0.15	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07g	sv07g1
