tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1038/s41586-021-03831-6	Fit 2	90.7804718017578	-0.4425114095211029	3.0	818.1385138513851	703.1710171017102	K	LP-DIR-T:DE-TROUT	PD131a1	PD131a1
this study:10.1038/s41586-021-03831-6	Fit 1	222.01419067382807	86.7163314819336	3.0	852.9419941994199	836.9323932393239	K	LP-DIR-T:DE-TROUT	PD131a1	PD131a1
this study:10.1038/s41586-021-03831-6	Fit 2	95.128173828125	4.379109859466553	3.0	806.015301530153	727.7654765476548	K	LP-DIR-T:DE-TROUT	PD132a2	PD132a2
this study:10.1038/s41586-021-03831-6	Fit 1	351.0971984863281	82.51585388183594	3.0	851.4338433843384	808.045504550455	K	LP-DIR-T:DE-TROUT	PD132a2	PD132a2
this study:10.1038/s41586-021-03831-6	Fit 2	100.02064514160156	-20.816659927368164	3.0	782.9869986998699	726.5473547354736	K	LP-DIR-T:DE-TROUT	PD133a4	PD133a4
this study:10.1038/s41586-021-03831-6	Fit 1	43.81311798095703	83.17085266113281	3.0	852.013901390139	810.1337133713371	K	LP-DIR-T:DE-TROUT	PD133a4	PD133a4
this study:10.1038/s41586-021-03831-6	Fit 2	84.23353576660156	7.594181537628174	3.0	806.8853885388539	749.1696169616962	K	LP-DIR-T:DE-TROUT	PD135a2	PD135a2
this study:10.1038/s41586-021-03831-6	Fit 1	36.032470703125	83.07318115234375	3.0	852.9419941994199	831.4798479847984	K	LP-DIR-T:DE-TROUT	PD135a2	PD135a2
this study:10.1038/s41586-021-03831-6	Fit 2	87.37690734863281	4.458146572113037	3.0	807.1174117411741	745.3412341234123	K	LP-DIR-T:DE-TROUT	PD135g2	PD135g2
this study:10.1038/s41586-021-03831-6	Fit 1	43.618751525878906	83.91285705566406	3.0	852.9419941994199	814.948194819482	K	LP-DIR-T:DE-TROUT	PD135g2	PD135g2
this study:10.1038/s41586-021-03831-6	Fit 2	89.2559814453125	4.025525569915772	3.0	820.2847284728473	783.3350335033504	K	LP-DIR-T:DE-TROUT	PD136b2	PD136b2
this study:10.1038/s41586-021-03831-6	Fit 1	128.5059051513672	86.26000213623047	3.0	852.8839883988398	826.8393839383938	K	LP-DIR-T:DE-TROUT	PD136b2	PD136b2
this study:10.1038/s41586-021-03831-6	Fit 2	93.8229751586914	5.008932590484619	3.0	830.5517551755175	709.5516551655165	K	LP-DIR-T:DE-TROUT	PD138b2	PD138b2
this study:10.1038/s41586-021-03831-6	Fit 1	110.35778045654295	67.45804595947266	3.0	851.8398839883988	831.4798479847984	K	LP-DIR-T:DE-TROUT	PD138b2	PD138b2
this study:10.1038/s41586-021-03831-6	Fit 2	89.09191131591797	-14.307781219482422	2.0			K	LP-DIR-T:DE-TROUT	PD142a2	PD142a2
this study:10.1038/s41586-021-03831-6	Fit 1	168.20249938964844	84.6864013671875	2.0	852.7099709970997	707.7534753475347	K	LP-DIR-T:DE-TROUT	PD142a2	PD142a2
this study:10.1038/s41586-021-03831-6	Fit 2	90.62024688720705	-2.225427865982056	2.0	721.3268326832683	273.0	K	LP-DIR-T:DE-TROUT	PD143b1	PD143b1
this study:10.1038/s41586-021-03831-6	Fit 1	194.68638610839844	86.38984680175781	2.0	852.6519651965197	741.8028802880287	K	LP-DIR-T:DE-TROUT	PD143b1	PD143b1
this study:10.1038/s41586-021-03831-6	Fit 2	84.36891174316406	-11.308509826660156	3.0	805.8992899289929	650.9077907790779	K	LP-DIR-T:DE-TROUT	PD148d1	PD148d1
this study:10.1038/s41586-021-03831-6	Fit 1	164.29501342773438	87.20165252685547	3.0	852.013901390139	819.1246124612461	K	LP-DIR-T:DE-TROUT	PD148d1	PD148d1
this study:10.1038/s41586-021-03831-6	Fit 2	90.88134002685548	-3.045182704925537	3.0	803.4050405040504	727.5334533453345	K	LP-DIR-T:DE-TROUT	PD149a5	PD149a5
this study:10.1038/s41586-021-03831-6	Fit 1	280.5545959472656	87.32701873779297	3.0	852.9419941994199	818.1385138513851	K	LP-DIR-T:DE-TROUT	PD149a5	PD149a5
this study:10.1038/s41586-021-03831-6	Fit 2	78.58988189697266	1.9002164602279663	3.0	795.5162516251625	771.1538153815382	K	LP-DIR-T:DE-TROUT	PD150e1	PD150e1
this study:10.1038/s41586-021-03831-6	Fit 1	4.607296466827393	79.16751098632812	3.0	852.9419941994199	800.6207620762076	K	LP-DIR-T:DE-TROUT	PD150e1	PD150e1
this study:10.1038/s41586-021-03831-6	Fit 2	88.7508544921875	7.298882007598877	3.0	799.8086808680868	694.2381238123812	K	LP-DIR-T:DE-TROUT	PD151a5	PD151a5
